origin,destination,weight
pri1_GDHI,pri3_good_dev,0.5130256194483787
pri1_GDHI,pri3_HE_prog,0.7551592878979003
pri1_GDHI,pri3_HE_prog_fsm,0.8090385967625213
pri1_GDHI,pri7_recy_rate,0.7093716824602471
pri1_GDHI,pri5_ncmp_yr6,-0.786789390975213
pri1_lan_pos,pri1_low_chi,-0.6344440013086576
pri1_lan_pos,pri2_aff_hom,-0.6744130109419711
pri1_lan_pos,pri2_net_add,-0.8480864777551244
pri1_lan_pos,pri3_ofted,0.8289155727824866
pri1_lan_pos,pri3_ks4_per,0.5899059419814933
pri1_lan_pos,pri3_HE_prog,0.6271419235066802
pri1_lan_pos,pri3_HE_prog_fsm,0.611543911446574
pri1_lan_pos,pri4_leisure,-0.5137783247142628
pri1_lan_pos,pri5_ncmp_yr6,-0.643260535968777
pri1_lan_pos,pri_4_tot_emp,0.7475421676611937
pri1_low_chi,pri2_aff_hom,-0.5494913136534546
pri1_low_chi,pri2_net_add,-0.7323399729441263
pri1_low_chi,pri3_HE_prog,0.9006271502819259
pri1_low_chi,pri3_HE_prog_fsm,0.9407091661230801
pri1_low_chi,pri4_leisure,-0.7610023515893898
pri1_low_chi,pri8_sat_runs,-0.5108406854512821
pri1_low_chi,pri8_sat_liv,-0.5229763603684918
pri1_low_chi,pri5_ncmp_yr6,-0.7364041081964094
pri2_aff_hom,pri1_GDHI,0.7516367798498895
pri2_aff_hom,pri3_ofted,0.5545190358553287
pri2_aff_hom,pri3_good_dev,-0.5530615534450878
pri2_aff_hom,pri3_ks4_per,0.593100372077277
pri2_aff_hom,pri4_parks,-0.5630133558060718
pri2_aff_hom,pri4_libs,0.9164440748056102
pri2_aff_hom,pri8_lis_con,-0.607947239484037
pri2_aff_hom,pri7_recy_rate,-0.5541193224226443
pri2_aff_hom,pri5_ncmp_yr6,0.6424495472691228
pri2_aff_hom,pri5_ncmp_rec,0.8106754034908572
pri2_net_add,pri1_low_chi,0.506127568995483
pri2_net_add,pri2_aff_hom,-0.707740562980479
pri2_net_add,pri3_HE_prog,0.904414404254937
pri2_net_add,pri3_HE_prog_fsm,0.8592624742387776
pri2_net_add,pri4_parks,-0.6922860255199055
pri2_net_add,pri4_libs,0.7018081324063619
pri2_net_add,pri4_leisure,-0.8161177424950888
pri2_net_add,pri8_sat_runs,-0.7257592589682834
pri2_net_add,pri8_sat_liv,-0.5683195692441906
pri2_net_add,pri8_lis_con,-0.6259629968392064
pri2_net_add,pri4_new_ent,0.5299473798606087
pri2_net_add,pri6_get_on_well,-0.7645345103396318
pri2_net_add,pri5_ncmp_rec,0.5996812984558787
pri3_ofted,pri1_GDHI,-0.6223411810455465
pri3_ofted,pri2_aff_hom,0.9544985662219879
pri3_ofted,pri3_ks4_per,-0.971708597390607
pri3_ofted,pri3_HE_prog,-0.5390472396869684
pri3_ofted,pri4_libs,-0.6454972243679029
pri3_ofted,pri4_bui_surv,0.6898982953548118
pri3_ofted,pri_4_tot_emp,-0.9188396828702643
pri3_good_dev,pri4_libs,-0.5274652245365168
pri3_good_dev,pri4_new_ent,0.5544056692859829
pri3_good_dev,pri7_recy_rate,0.7208203415099298
pri3_ks4_per,pri1_lan_pos,0.5360564930195714
pri3_ks4_per,pri2_aff_hom,0.6581689615637815
pri3_ks4_per,pri3_ofted,-0.7989590968010811
pri3_ks4_per,pri8_sat_liv,-0.7477274437887667
pri3_ks4_per,pri6_get_on_well,-0.637961618231178
pri3_ks4_per,pri7_co2_emi,-0.6052754068693
pri3_ks4_per,pri4_bui_surv,0.8048300714915495
pri3_ks4_per,pri_4_tot_emp,-0.8237511925891446
pri3_HE_prog,pri1_lan_pos,0.6332933036226851
pri3_HE_prog,pri3_good_dev,-0.5909496013806734
pri3_HE_prog,pri3_ks4_per,-0.5031447635987918
pri3_HE_prog,pri4_parks,-0.8532608555245418
pri3_HE_prog,pri4_leisure,-0.6296123469843801
pri3_HE_prog,pri8_sat_runs,-0.8333645766831103
pri3_HE_prog,pri8_sat_liv,-0.8256653267602512
pri3_HE_prog,pri6_get_on_well,-0.7019099218069087
pri3_HE_prog,pri7_co2_emi,-0.9692460443158417
pri3_HE_prog,pri7_recy_rate,-0.7481164166431662
pri3_HE_prog,pri4_bui_surv,0.9034358337559469
pri3_HE_prog,pri_4_tot_emp,-0.5340795476930194
pri3_HE_prog_fsm,pri1_lan_pos,0.5756260942432928
pri3_HE_prog_fsm,pri3_good_dev,-0.6585245225183306
pri3_HE_prog_fsm,pri3_ks4_per,-0.5001033371330526
pri3_HE_prog_fsm,pri4_parks,-0.8039395347686658
pri3_HE_prog_fsm,pri4_leisure,-0.5717524817332506
pri3_HE_prog_fsm,pri8_sat_runs,-0.7724381391223317
pri3_HE_prog_fsm,pri8_sat_liv,-0.7622056835490189
pri3_HE_prog_fsm,pri6_get_on_well,-0.6100253764796527
pri3_HE_prog_fsm,pri7_co2_emi,-0.9650400091687472
pri3_HE_prog_fsm,pri7_recy_rate,-0.7703701778175632
pri3_HE_prog_fsm,pri4_bui_surv,0.8965054923583303
pri3_HE_prog_fsm,pri_4_tot_emp,-0.5409825035081929
pri4_parks,pri1_GDHI,0.7444885900099932
pri4_parks,pri1_lan_pos,0.623840819793515
pri4_parks,pri1_low_chi,0.9649878498652702
pri4_parks,pri2_net_add,0.8290956218046888
pri4_parks,pri3_good_dev,0.5365849874058488
pri4_parks,pri8_lis_con,-0.7452419452201713
pri4_parks,pri4_new_ent,0.9688369161679635
pri4_parks,pri5_ncmp_yr6,0.6546905179176458
pri4_parks,pri5_ncmp_rec,0.6747012435128316
pri4_libs,pri1_GDHI,-0.7098985688137396
